seed,fold,model,rmse,train_s,predict_s,memory_mb
2024,1,ItemCF_tuned_baseline,16.824471,6.3774,1.0106,18.8598
2024,1,MF_tuned,16.827526,15.5195,0.0504,2.4632
2024,1,UserCF_tuned,17.371776,2.4139,1.1819,10.0362
2024,1,Ensemble_triple_tuned,16.667532,24.3107,2.2428,31.3592
2024,2,ItemCF_tuned_baseline,17.098150,7.3207,0.9707,18.7955
2024,2,MF_tuned,16.967756,14.9515,0.0252,2.4665
2024,2,UserCF_tuned,17.542971,1.7090,1.1229,10.0432
2024,2,Ensemble_triple_tuned,16.879665,23.9812,2.1188,31.3052
2024,3,ItemCF_tuned_baseline,17.199729,6.2958,0.8517,18.8195
2024,3,MF_tuned,17.169082,13.3277,0.0326,2.4665
2024,3,UserCF_tuned,17.650651,1.5646,1.0053,10.0466
2024,3,Ensemble_triple_tuned,17.031618,21.1881,1.8897,31.3327
2024,4,ItemCF_tuned_baseline,17.055118,5.4573,0.7188,18.8523
2024,4,MF_tuned,16.945761,12.9093,0.0321,2.4612
2024,4,UserCF_tuned,17.581124,1.6733,0.9920,10.0269
2024,4,Ensemble_triple_tuned,16.849520,20.0400,1.7429,31.3405
2024,5,ItemCF_tuned_baseline,17.111239,5.0321,0.8067,18.8231
2024,5,MF_tuned,17.120440,12.7751,0.0302,2.4701
2024,5,UserCF_tuned,17.585879,1.9142,1.0366,10.0297
2024,5,Ensemble_triple_tuned,16.954411,19.7214,1.8734,31.3229
2025,1,ItemCF_tuned_baseline,16.986517,5.7017,0.8233,18.8464
2025,1,MF_tuned,16.900526,13.2827,0.0518,2.4636
2025,1,UserCF_tuned,17.474615,2.1238,1.2424,10.0380
2025,1,Ensemble_triple_tuned,16.789336,21.1082,2.1175,31.3480
2025,2,ItemCF_tuned_baseline,17.049853,6.0061,0.9585,18.8415
2025,2,MF_tuned,16.981824,14.5805,0.0442,2.4612
2025,2,UserCF_tuned,17.479688,2.0269,1.0861,10.0309
2025,2,Ensemble_triple_tuned,16.854089,22.6136,2.0888,31.3336
2025,3,ItemCF_tuned_baseline,17.077279,6.1785,0.9060,18.8125
2025,3,MF_tuned,17.020285,14.9351,0.0377,2.4689
2025,3,UserCF_tuned,17.577656,2.0338,1.1981,10.0516
2025,3,Ensemble_triple_tuned,16.899223,23.1474,2.1419,31.3331
2025,4,ItemCF_tuned_baseline,17.208718,5.9447,0.8796,18.8381
2025,4,MF_tuned,17.060224,14.3073,0.0336,2.4665
2025,4,UserCF_tuned,17.644767,1.8199,1.1790,10.0412
2025,4,Ensemble_triple_tuned,16.978440,22.0719,2.0922,31.3458
2025,5,ItemCF_tuned_baseline,17.000254,5.5444,0.6830,18.8368
2025,5,MF_tuned,16.914828,13.6722,0.0502,2.4639
2025,5,UserCF_tuned,17.547731,3.8656,1.7528,10.0212
2025,5,Ensemble_triple_tuned,16.799859,23.0822,2.4860,31.3219
2026,1,ItemCF_tuned_baseline,16.987295,10.5280,1.3193,18.8333
2026,1,MF_tuned,16.958630,23.0562,0.0746,2.4709
2026,1,UserCF_tuned,17.431301,3.3614,2.0806,10.0366
2026,1,Ensemble_triple_tuned,16.802895,36.9457,3.4745,31.3408
2026,2,ItemCF_tuned_baseline,17.075055,9.7177,1.2165,18.7977
2026,2,MF_tuned,17.040496,20.6710,0.0568,2.4730
2026,2,UserCF_tuned,17.564714,3.7744,1.9264,10.0426
2026,2,Ensemble_triple_tuned,16.897256,34.1631,3.1997,31.3133
2026,3,ItemCF_tuned_baseline,17.025902,9.6855,1.3395,18.8232
2026,3,MF_tuned,17.015119,21.5121,0.0612,2.4581
2026,3,UserCF_tuned,17.567459,4.5002,1.8656,10.0253
2026,3,Ensemble_triple_tuned,16.871778,35.6979,3.2663,31.3066
2026,4,ItemCF_tuned_baseline,16.998400,10.8419,1.3486,18.8302
2026,4,MF_tuned,16.948550,19.5980,0.0488,2.4615
2026,4,UserCF_tuned,17.538639,3.7898,1.6612,10.0403
2026,4,Ensemble_triple_tuned,16.816859,34.2298,3.0586,31.3320
2026,5,ItemCF_tuned_baseline,16.968179,9.3685,1.2404,18.8356
2026,5,MF_tuned,16.942952,19.0358,0.0554,2.4670
2026,5,UserCF_tuned,17.510143,3.8128,1.7393,10.0254
2026,5,Ensemble_triple_tuned,16.798105,32.2171,3.0351,31.3281
2027,1,ItemCF_tuned_baseline,16.938945,8.9794,1.2151,18.8338
2027,1,MF_tuned,16.915872,19.5924,0.0431,2.4620
2027,1,UserCF_tuned,17.401629,3.8597,1.7066,10.0220
2027,1,Ensemble_triple_tuned,16.772635,32.4315,2.9648,31.3177
2027,2,ItemCF_tuned_baseline,17.045154,8.8550,1.2257,18.8172
2027,2,MF_tuned,17.009171,20.1634,0.0556,2.4680
2027,2,UserCF_tuned,17.571005,4.1330,1.6095,10.0356
2027,2,Ensemble_triple_tuned,16.874294,33.1514,2.8909,31.3208
2027,3,ItemCF_tuned_baseline,16.994383,9.3363,1.4406,18.8076
2027,3,MF_tuned,16.956495,23.6079,0.0683,2.4687
2027,3,UserCF_tuned,17.593930,3.1376,1.9434,10.0485
2027,3,Ensemble_triple_tuned,16.827395,36.0817,3.4524,31.3249
2027,4,ItemCF_tuned_baseline,16.933518,10.5653,1.4275,18.8625
2027,4,MF_tuned,16.934129,24.0079,0.0763,2.4639
2027,4,UserCF_tuned,17.525231,3.9866,1.9841,10.0387
2027,4,Ensemble_triple_tuned,16.790625,38.5597,3.4880,31.3650
2027,5,ItemCF_tuned_baseline,17.204719,9.3118,1.3551,18.8414
2027,5,MF_tuned,17.121723,20.3920,0.0551,2.4622
2027,5,UserCF_tuned,17.661598,4.3162,1.8804,10.0259
2027,5,Ensemble_triple_tuned,17.002280,34.0200,3.2906,31.3294
2028,1,ItemCF_tuned_baseline,16.923619,10.9379,1.5002,18.9021
2028,1,MF_tuned,16.876659,23.2324,0.0666,2.4567
2028,1,UserCF_tuned,17.497316,3.9999,2.1652,10.0250
2028,1,Ensemble_triple_tuned,16.747037,38.1702,3.7320,31.3837
2028,2,ItemCF_tuned_baseline,17.123228,10.7874,1.3466,18.7858
2028,2,MF_tuned,17.071483,20.5757,0.0736,2.4639
2028,2,UserCF_tuned,17.640732,4.2846,1.9033,10.0323
2028,2,Ensemble_triple_tuned,16.944243,35.6476,3.3235,31.2820
2028,3,ItemCF_tuned_baseline,17.117891,9.1135,1.3701,18.8057
2028,3,MF_tuned,17.003203,20.5119,0.0540,2.4704
2028,3,UserCF_tuned,17.552183,3.7877,1.6751,10.0367
2028,3,Ensemble_triple_tuned,16.894425,33.4131,3.0992,31.3127
2028,4,ItemCF_tuned_baseline,17.157316,9.2444,1.3381,18.8632
2028,4,MF_tuned,17.043852,25.9438,0.1113,2.4704
2028,4,UserCF_tuned,17.605976,3.7273,2.2646,10.0446
2028,4,Ensemble_triple_tuned,16.945218,38.9155,3.7140,31.3781
2028,5,ItemCF_tuned_baseline,17.019328,11.2751,1.6235,18.8056
2028,5,MF_tuned,16.936830,27.6367,0.0712,2.4632
2028,5,UserCF_tuned,17.419726,4.5211,1.8680,10.0361
2028,5,Ensemble_triple_tuned,16.806444,43.4328,3.5627,31.3049
