seed,fold,model,rmse,train_seconds,predict_seconds,memory_mb
2024,1,Baseline_default,17.372375,0.6104,0.0040,0.7456
2024,1,Baseline_tuned_ru6_ri10,17.264644,0.7093,0.0045,0.7456
2024,1,ItemCF_official,16.923366,5.3826,1.0531,97.7688
2024,1,ItemCF_tuned_baseline,16.824471,5.6881,1.3475,121.6139
2024,1,MF_official,17.081820,16.4151,0.0675,0.9517
2024,1,MF_tuned,16.977220,17.5385,0.0594,1.0891
2024,1,UserCF_tuned,17.371776,1.3551,0.3600,26.6205
2024,1,Ensemble_official,16.803201,21.7977,1.1206,98.7205
2024,1,Ensemble_pair_tuned,16.734599,23.2266,1.4069,122.7031
2024,1,Ensemble_triple_tuned,16.712570,24.5816,1.7669,149.3235
2024,2,Baseline_default,17.477984,0.5274,0.0049,0.7463
2024,2,Baseline_tuned_ru6_ri10,17.374051,0.6503,0.0088,0.7463
2024,2,ItemCF_official,17.183598,5.6968,0.9214,97.2151
2024,2,ItemCF_tuned_baseline,17.098150,6.2694,1.1761,120.9908
2024,2,MF_official,17.179665,15.3258,0.0227,0.9527
2024,2,MF_tuned,17.140136,16.0922,0.0440,1.0903
2024,2,UserCF_tuned,17.542971,1.1846,0.3194,26.6147
2024,2,Ensemble_official,16.985409,21.0226,0.9441,98.1678
2024,2,Ensemble_pair_tuned,16.970220,22.3616,1.2201,122.0812
2024,2,Ensemble_triple_tuned,16.942579,23.5463,1.5395,148.6959
2024,3,Baseline_default,17.690816,0.5890,0.0078,0.7463
2024,3,Baseline_tuned_ru6_ri10,17.579901,0.6535,0.0043,0.7463
2024,3,ItemCF_official,17.343443,5.9471,1.0656,97.6636
2024,3,ItemCF_tuned_baseline,17.199729,5.5322,1.2369,121.3366
2024,3,MF_official,17.271884,15.2053,0.0745,0.9527
2024,3,MF_tuned,17.275935,15.4038,0.0240,1.0903
2024,3,UserCF_tuned,17.650651,1.7393,0.4948,26.6483
2024,3,Ensemble_official,17.123377,21.1524,1.1401,98.6163
2024,3,Ensemble_pair_tuned,17.094797,20.9360,1.2609,122.4270
2024,3,Ensemble_triple_tuned,17.062957,22.6753,1.7557,149.0753
2024,4,Baseline_default,17.506905,0.6912,0.0058,0.7452
2024,4,Baseline_tuned_ru6_ri10,17.401172,0.6973,0.0072,0.7452
2024,4,ItemCF_official,17.123663,5.6656,0.9839,97.5541
2024,4,ItemCF_tuned_baseline,17.055118,5.6842,1.1962,121.4918
2024,4,MF_official,17.144138,17.1140,0.0435,0.9511
2024,4,MF_tuned,17.143032,15.6943,0.0405,1.0884
2024,4,UserCF_tuned,17.581124,1.2607,0.4455,26.6048
2024,4,Ensemble_official,16.948523,22.7796,1.0275,98.5052
2024,4,Ensemble_pair_tuned,16.955541,21.3785,1.2366,122.5802
2024,4,Ensemble_triple_tuned,16.927878,22.6392,1.6821,149.1850
2024,5,Baseline_default,17.613909,0.6133,0.0053,0.7470
2024,5,Baseline_tuned_ru6_ri10,17.506002,0.6279,0.0076,0.7470
2024,5,ItemCF_official,17.214555,6.9654,1.0147,97.6283
2024,5,ItemCF_tuned_baseline,17.111239,6.1638,1.2925,121.2522
2024,5,MF_official,17.292664,15.4636,0.0464,0.9538
2024,5,MF_tuned,17.212635,16.1902,0.0356,1.0917
2024,5,UserCF_tuned,17.585879,1.1452,0.4080,26.5323
2024,5,Ensemble_official,17.058121,22.4290,1.0611,98.5821
2024,5,Ensemble_pair_tuned,17.006631,22.3540,1.3281,122.3438
2024,5,Ensemble_triple_tuned,16.977202,23.4992,1.7361,148.8761
2025,1,Baseline_default,17.462466,0.5517,0.0065,0.7457
2025,1,Baseline_tuned_ru6_ri10,17.355436,0.5837,0.0049,0.7457
2025,1,ItemCF_official,17.049154,6.0749,0.9603,97.7983
2025,1,ItemCF_tuned_baseline,16.986517,5.9251,1.2152,121.5279
2025,1,MF_official,17.185448,15.8847,0.0396,0.9518
2025,1,MF_tuned,17.056080,16.0289,0.0489,1.0893
2025,1,UserCF_tuned,17.474611,1.9993,0.4782,26.7261
2025,1,Ensemble_official,16.931791,21.9597,0.9999,98.7501
2025,1,Ensemble_pair_tuned,16.867834,21.9540,1.2641,122.6172
2025,1,Ensemble_triple_tuned,16.843117,23.9533,1.7423,149.3433
2025,2,Baseline_default,17.542153,0.6850,0.0107,0.7452
2025,2,Baseline_tuned_ru6_ri10,17.431648,0.6917,0.0062,0.7452
2025,2,ItemCF_official,17.151673,5.6294,0.9247,97.6842
2025,2,ItemCF_tuned_baseline,17.049853,5.6105,1.2705,121.4641
2025,2,MF_official,17.244146,16.7739,0.0393,0.9511
2025,2,MF_tuned,17.142495,17.1693,0.0477,1.0884
2025,2,UserCF_tuned,17.479688,1.6244,0.4659,26.6355
2025,2,Ensemble_official,17.008409,22.4032,0.9640,98.6353
2025,2,Ensemble_pair_tuned,16.944460,22.7799,1.3182,122.5525
2025,2,Ensemble_triple_tuned,16.911883,24.4042,1.7841,149.1880
2025,3,Baseline_default,17.571797,0.7661,0.0078,0.7468
2025,3,Baseline_tuned_ru6_ri10,17.468996,0.8009,0.0108,0.7468
2025,3,ItemCF_official,17.141647,6.1827,0.9598,97.4071
2025,3,ItemCF_tuned_baseline,17.077279,6.3883,1.2009,121.1445
2025,3,MF_official,17.310027,16.1596,0.0266,0.9534
2025,3,MF_tuned,17.194781,17.0099,0.0228,1.0912
2025,3,UserCF_tuned,17.577656,1.0361,0.3563,26.5699
2025,3,Ensemble_official,17.029542,22.3423,0.9864,98.3605
2025,3,Ensemble_pair_tuned,16.987522,23.3983,1.2236,122.2357
2025,3,Ensemble_triple_tuned,16.962908,24.4343,1.5800,148.8056
2025,4,Baseline_default,17.651821,0.6577,0.0086,0.7463
2025,4,Baseline_tuned_ru6_ri10,17.558007,0.5963,0.0046,0.7463
2025,4,ItemCF_official,17.285364,5.3258,0.9785,97.5336
2025,4,ItemCF_tuned_baseline,17.208718,5.6370,1.1193,121.3648
2025,4,MF_official,17.338619,15.8400,0.0494,0.9527
2025,4,MF_tuned,17.271187,15.2042,0.0564,1.0903
2025,4,UserCF_tuned,17.644767,1.9923,0.4292,26.5114
2025,4,Ensemble_official,17.124141,21.1658,1.0279,98.4863
2025,4,Ensemble_pair_tuned,17.091738,20.8412,1.1757,122.4551
2025,4,Ensemble_triple_tuned,17.055398,22.8335,1.6049,148.9665
2025,5,Baseline_default,17.462208,0.7089,0.0105,0.7457
2025,5,Baseline_tuned_ru6_ri10,17.351642,0.7755,0.0059,0.7457
2025,5,ItemCF_official,17.101640,5.1039,0.9597,97.3440
2025,5,ItemCF_tuned_baseline,17.000254,5.6199,1.2516,121.2461
2025,5,MF_official,17.210705,16.0311,0.0353,0.9519
2025,5,MF_tuned,17.089059,15.0975,0.0261,1.0894
2025,5,UserCF_tuned,17.547731,1.6094,0.5281,26.5821
2025,5,Ensemble_official,16.953740,21.1349,0.9950,98.2959
2025,5,Ensemble_pair_tuned,16.889997,20.7174,1.2777,122.3354
2025,5,Ensemble_triple_tuned,16.865207,22.3268,1.8058,148.9176
2026,1,Baseline_default,17.498934,0.6327,0.0065,0.7472
2026,1,Baseline_tuned_ru6_ri10,17.397762,0.5827,0.0042,0.7472
2026,1,ItemCF_official,17.071172,5.5088,0.9946,97.7724
2026,1,ItemCF_tuned_baseline,16.987295,5.8005,1.1307,121.4703
2026,1,MF_official,17.175169,16.6921,0.0471,0.9540
2026,1,MF_tuned,17.120708,16.0389,0.0429,1.0919
2026,1,UserCF_tuned,17.431301,1.2222,0.4111,26.6946
2026,1,Ensemble_official,16.915771,22.2009,1.0418,98.7264
2026,1,Ensemble_pair_tuned,16.897262,21.8393,1.1736,122.5623
2026,1,Ensemble_triple_tuned,16.860846,23.0616,1.5847,149.2569
2026,2,Baseline_default,17.558273,0.6687,0.0066,0.7476
2026,2,Baseline_tuned_ru6_ri10,17.459946,0.6571,0.0048,0.7476
2026,2,ItemCF_official,17.180418,5.0122,0.9287,97.2496
2026,2,ItemCF_tuned_baseline,17.075055,5.5138,1.2188,120.9914
2026,2,MF_official,17.220621,16.6349,0.0352,0.9547
2026,2,MF_tuned,17.166641,16.8019,0.0314,1.0927
2026,2,UserCF_tuned,17.564714,1.4552,0.4536,26.5954
2026,2,Ensemble_official,17.007020,21.6472,0.9639,98.2043
2026,2,Ensemble_pair_tuned,16.965990,22.3156,1.2502,122.0841
2026,2,Ensemble_triple_tuned,16.938900,23.7708,1.7038,148.6795
2026,3,Baseline_default,17.577378,0.6862,0.0111,0.7446
2026,3,Baseline_tuned_ru6_ri10,17.456418,0.6214,0.0047,0.7446
2026,3,ItemCF_official,17.148941,5.3694,0.9439,97.4892
2026,3,ItemCF_tuned_baseline,17.025902,6.1717,1.1940,121.2979
2026,3,MF_official,17.227824,15.3759,0.0348,0.9502
2026,3,MF_tuned,17.183658,16.0949,0.0325,1.0873
2026,3,UserCF_tuned,17.567459,1.0559,0.3465,26.4859
2026,3,Ensemble_official,16.981499,20.7454,0.9786,98.4394
2026,3,Ensemble_pair_tuned,16.941594,22.2665,1.2264,122.3852
2026,3,Ensemble_triple_tuned,16.921771,23.3224,1.5730,148.8710
2026,4,Baseline_default,17.484324,0.6457,0.0051,0.7452
2026,4,Baseline_tuned_ru6_ri10,17.375079,0.7129,0.0064,0.7452
2026,4,ItemCF_official,17.101887,5.3090,1.1187,97.4103
2026,4,ItemCF_tuned_baseline,16.998400,5.8366,1.2326,121.2118
2026,4,MF_official,17.154367,16.2634,0.0218,0.9512
2026,4,MF_tuned,17.085850,15.8066,0.0545,1.0885
2026,4,UserCF_tuned,17.538639,1.1187,0.4410,26.6868
2026,4,Ensemble_official,16.937152,21.5724,1.1405,98.3615
2026,4,Ensemble_pair_tuned,16.891961,21.6431,1.2871,122.3002
2026,4,Ensemble_triple_tuned,16.867453,22.7618,1.7282,148.9870
2026,5,Baseline_default,17.504256,0.6947,0.0124,0.7464
2026,5,Baseline_tuned_ru6_ri10,17.396361,0.6403,0.0064,0.7464
2026,5,ItemCF_official,17.060635,5.7189,1.0692,97.5583
2026,5,ItemCF_tuned_baseline,16.968179,6.0398,1.2180,121.3846
2026,5,MF_official,17.188664,16.8663,0.0250,0.9529
2026,5,MF_tuned,17.090671,16.4208,0.0417,1.0905
2026,5,UserCF_tuned,17.510143,1.2236,0.4062,26.5862
2026,5,Ensemble_official,16.920098,22.5853,1.0942,98.5112
2026,5,Ensemble_pair_tuned,16.866029,22.4606,1.2597,122.4751
2026,5,Ensemble_triple_tuned,16.847122,23.6841,1.6658,149.0613
2027,1,Baseline_default,17.435470,0.7192,0.0054,0.7453
2027,1,Baseline_tuned_ru6_ri10,17.333919,0.7726,0.0119,0.7453
2027,1,ItemCF_official,17.063929,5.3371,0.9570,97.5338
2027,1,ItemCF_tuned_baseline,16.938945,5.0548,1.2427,121.3588
2027,1,MF_official,17.151715,14.8771,0.0398,0.9513
2027,1,MF_tuned,17.057656,15.1124,0.0219,1.0887
2027,1,UserCF_tuned,17.401629,1.2549,0.4650,26.6264
2027,1,Ensemble_official,16.909710,20.2142,0.9967,98.4851
2027,1,Ensemble_pair_tuned,16.842209,20.1672,1.2646,122.4475
2027,1,Ensemble_triple_tuned,16.815704,21.4220,1.7297,149.0739
2027,2,Baseline_default,17.547243,0.6068,0.0047,0.7466
2027,2,Baseline_tuned_ru6_ri10,17.430400,0.7090,0.0043,0.7466
2027,2,ItemCF_official,17.169591,4.9656,0.9896,97.4782
2027,2,ItemCF_tuned_baseline,17.045154,5.2549,1.2244,121.1608
2027,2,MF_official,17.195686,13.9959,0.0442,0.9532
2027,2,MF_tuned,17.171630,16.3795,0.0383,1.0909
2027,2,UserCF_tuned,17.571005,1.7517,0.5559,26.5339
2027,2,Ensemble_official,16.992125,18.9615,1.0338,98.4314
2027,2,Ensemble_pair_tuned,16.948218,21.6343,1.2628,122.2517
2027,2,Ensemble_triple_tuned,16.927958,23.3860,1.8187,148.7855
2027,3,Baseline_default,17.508382,0.7880,0.0070,0.7467
2027,3,Baseline_tuned_ru6_ri10,17.406391,0.8339,0.0100,0.7467
2027,3,ItemCF_official,17.120624,5.3091,0.9853,97.2163
2027,3,ItemCF_tuned_baseline,16.994383,5.6090,1.2085,121.0065
2027,3,MF_official,17.139916,15.1810,0.0348,0.9534
2027,3,MF_tuned,17.073178,15.9011,0.0256,1.0911
2027,3,UserCF_tuned,17.593930,1.5413,0.4218,26.5932
2027,3,Ensemble_official,16.926266,20.4900,1.0201,98.1697
2027,3,Ensemble_pair_tuned,16.882039,21.5101,1.2341,122.0976
2027,3,Ensemble_triple_tuned,16.872013,23.0514,1.6560,148.6908
2027,4,Baseline_default,17.463306,0.7109,0.0095,0.7457
2027,4,Baseline_tuned_ru6_ri10,17.360547,0.7199,0.0066,0.7457
2027,4,ItemCF_official,17.029379,6.1559,0.9759,97.8632
2027,4,ItemCF_tuned_baseline,16.933518,5.2672,1.1895,121.7138
2027,4,MF_official,17.088943,15.6581,0.0559,0.9519
2027,4,MF_tuned,17.070399,16.8983,0.0458,1.0894
2027,4,UserCF_tuned,17.525231,1.7845,0.4453,26.6638
2027,4,Ensemble_official,16.867561,21.8140,1.0319,98.8151
2027,4,Ensemble_pair_tuned,16.850232,22.1655,1.2353,122.8032
2027,4,Ensemble_triple_tuned,16.835788,23.9500,1.6806,149.4670
2027,5,Baseline_default,17.700312,0.6505,0.0054,0.7454
2027,5,Baseline_tuned_ru6_ri10,17.592433,0.6954,0.0100,0.7454
2027,5,ItemCF_official,17.288850,5.4261,0.9262,97.6687
2027,5,ItemCF_tuned_baseline,17.204719,5.8943,1.3923,121.5122
2027,5,MF_official,17.364662,15.9644,0.0342,0.9514
2027,5,MF_tuned,17.274866,15.3758,0.0244,1.0888
2027,5,UserCF_tuned,17.661598,1.2654,0.3460,26.5352
2027,5,Ensemble_official,17.130025,21.3905,0.9604,98.6201
2027,5,Ensemble_pair_tuned,17.085770,21.2700,1.4167,122.6010
2027,5,Ensemble_triple_tuned,17.055809,22.5355,1.7628,149.1362
2028,1,Baseline_default,17.456008,0.6947,0.0083,0.7443
2028,1,Baseline_tuned_ru6_ri10,17.351781,0.5751,0.0073,0.7443
2028,1,ItemCF_official,17.004668,6.1885,0.9438,98.1137
2028,1,ItemCF_tuned_baseline,16.923619,5.2754,1.0936,122.0919
2028,1,MF_official,17.118660,15.1973,0.0376,0.9497
2028,1,MF_tuned,17.028381,15.1101,0.0226,1.0867
2028,1,UserCF_tuned,17.497316,1.1087,0.3970,26.5042
2028,1,Ensemble_official,16.859052,21.3858,0.9814,99.0634
2028,1,Ensemble_pair_tuned,16.818067,20.3855,1.1162,123.1786
2028,1,Ensemble_triple_tuned,16.799267,21.4942,1.5133,149.6828
2028,2,Baseline_default,17.600897,0.6452,0.0087,0.7457
2028,2,Baseline_tuned_ru6_ri10,17.498917,0.5473,0.0084,0.7457
2028,2,ItemCF_official,17.207360,5.2071,0.9688,97.0094
2028,2,ItemCF_tuned_baseline,17.123228,5.7584,1.0897,120.8082
2028,2,MF_official,17.300506,16.6254,0.0382,0.9519
2028,2,MF_tuned,17.185090,15.0435,0.0240,1.0894
2028,2,UserCF_tuned,17.640732,1.1268,0.4177,26.6822
2028,2,Ensemble_official,17.055582,21.8325,1.0070,97.9613
2028,2,Ensemble_pair_tuned,17.003414,20.8018,1.1137,121.8976
2028,2,Ensemble_triple_tuned,16.985074,21.9286,1.5313,148.5798
2028,3,Baseline_default,17.542450,0.6015,0.0059,0.7471
2028,3,Baseline_tuned_ru6_ri10,17.442510,0.6228,0.0075,0.7471
2028,3,ItemCF_official,17.201636,5.0803,0.8549,97.2586
2028,3,ItemCF_tuned_baseline,17.117891,5.2597,1.0951,121.0070
2028,3,MF_official,17.274990,13.7237,0.0373,0.9539
2028,3,MF_tuned,17.170506,16.4676,0.0598,1.0917
2028,3,UserCF_tuned,17.552183,1.2447,0.4437,26.6067
2028,3,Ensemble_official,17.036563,18.8040,0.8922,98.2125
2028,3,Ensemble_pair_tuned,16.992561,21.7274,1.1548,122.0988
2028,3,Ensemble_triple_tuned,16.961881,22.9721,1.5985,148.7054
2028,4,Baseline_default,17.581229,0.6572,0.0105,0.7471
2028,4,Baseline_tuned_ru6_ri10,17.477486,0.6555,0.0100,0.7471
2028,4,ItemCF_official,17.281288,5.2622,0.9728,97.7562
2028,4,ItemCF_tuned_baseline,17.157316,5.7794,1.1618,121.5903
2028,4,MF_official,17.263073,15.7846,0.0224,0.9539
2028,4,MF_tuned,17.184151,16.5557,0.0730,1.0917
2028,4,UserCF_tuned,17.605976,1.7261,0.4265,26.5545
2028,4,Ensemble_official,17.090226,21.0468,0.9952,98.7101
2028,4,Ensemble_pair_tuned,17.027557,22.3351,1.2348,122.6820
2028,4,Ensemble_triple_tuned,17.001157,24.0612,1.6614,149.2365
2028,5,Baseline_default,17.491137,0.6288,0.0088,0.7456
2028,5,Baseline_tuned_ru6_ri10,17.376140,0.7045,0.0089,0.7456
2028,5,ItemCF_official,17.118669,5.6503,0.9688,97.4903
2028,5,ItemCF_tuned_baseline,17.019328,5.2349,1.2104,121.1560
2028,5,MF_official,17.139519,16.2243,0.0429,0.9517
2028,5,MF_tuned,17.069622,16.2868,0.0337,1.0891
2028,5,UserCF_tuned,17.419726,1.0000,0.3914,26.6217
2028,5,Ensemble_official,16.921836,21.8746,1.0117,98.4420
2028,5,Ensemble_pair_tuned,16.887641,21.5217,1.2441,122.2451
2028,5,Ensemble_triple_tuned,16.846146,22.5217,1.6355,148.8668
